"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"accurately";"точно";;"ˈækjərətli";"One of the most important actions to track is user signups, and so we've been looking into ways of doing that <b>accurately</b> with Google Analytics.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjdXJhdGVseQ==4f891e45.mp3]";"One of the most important actions to track is user signups, and so we've been looking into ways of doing that {{c1::accurately}} with Google Analytics.";;"Слова из интернета"
"aim";"стремиться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/268647.png'>";"eɪm";"Uniform flexibility might seem like an ideal to <b>aim</b> for, but the ground truth is that a more rigid, tightly coupled system is usually a lot simpler to build.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWltd682cc66.mp3]";"Uniform flexibility might seem like an ideal to {{c1::aim}} for, but the ground truth is that a more rigid, tightly coupled system is usually a lot simpler to build.";;"Слова из интернета"
"expense";"расход";"<img src='https://contentcdn.lingualeo.com/uploads/picture/4948.png'>";"ɪkˈspɛns";"Birdly’s current strategy is to experiment with multiple different bots—<b>expense</b> management, turning business cards into Salesforce leads, translation services, managing grocery lists, etc—and see what sticks.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhwZW5zZQ==4adb67e9.mp3]";"Birdly’s current strategy is to experiment with multiple different bots—{{c1::expense}} management, turning business cards into Salesforce leads, translation services, managing grocery lists, etc—and see what sticks.";;"Слова из интернета"
"grocery";"продуктовый магазин";"<img src='https://contentcdn.lingualeo.com/uploads/picture/402924.png'>";"ˈgroʊsəri";"Birdly’s current strategy is to experiment with multiple different bots—expense management, turning business cards into Salesforce leads, translation services, managing <b>grocery</b> lists, etc—and see what sticks.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z3JvY2VyeQ==ab0682a0.mp3]";"Birdly’s current strategy is to experiment with multiple different bots—expense management, turning business cards into Salesforce leads, translation services, managing {{c1::grocery}} lists, etc—and see what sticks.";;"Слова из интернета"
"intent";"цель. намерение";;"ɪnˈtɛnt";"Siri is the thing that knows your <b>intent</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZW5087d55ae2.mp3]";"Siri is the thing that knows your {{c1::intent}}";;"Слова из интернета"
"that";"который";"<img src='https://contentcdn.lingualeo.com/uploads/picture/845537.png'>";"ðæt";"The main event <b>that</b> they track for each bot is new request (triggered when the bot receives a message from a user) with properties request_type <b>that</b> indicates the intent of the message (i.e. uploading a receipt or something else).";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhhdA==dfb59c66.mp3]";"The main event {{c1::that}} they track for each bot is new request (triggered when the bot receives a message from a user) with properties request_type {{c1::that}} indicates the intent of the message (i.e. uploading a receipt or something else).";;"Слова из интернета"
"usage";"использование";;"ˈjusəʤ";"Keep in mind that the request_type that signals a core <b>usage</b> event varies amongst Birdly’s bots.";"[sound:https://audiocdn.lingualeo.com/v2/1/dXNhZ2U=761cc1d5.mp3]";"Keep in mind that the request_type that signals a core {{c1::usage}} event varies amongst Birdly’s bots.";;"Слова из интернета"
"amongst";"между";"<img src='https://contentcdn.lingualeo.com/uploads/picture/450694.png'>";"əˈmʌŋst";"Keep in mind that the request_type that signals a core usage event varies <b>amongst</b> Birdly’s bots.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW1vbmdzdA==9c504f0e.mp3]";"Keep in mind that the request_type that signals a core usage event varies {{c1::amongst}} Birdly’s bots.";;"Слова из интернета"
"varies";"меняется";"<img src='https://contentcdn.lingualeo.com/uploads/picture/305614.png'>";"ˈvɛriz";"Keep in mind that the request_type that signals a core usage event <b>varies</b> amongst Birdly’s bots.";"[sound:https://audiocdn.lingualeo.com/v2/1/dmFyaWVz27f731e4.mp3]";"Keep in mind that the request_type that signals a core usage event {{c1::varies}} amongst Birdly’s bots.";;"Слова из интернета"
"expenses";"расходы";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1986.png'>";"ɪkˈspɛnsəz";"Its core value prop is to process <b>expenses</b> from pictures of receipts.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhwZW5zZXM=82b31aa9.mp3]";"Its core value prop is to process {{c1::expenses}} from pictures of receipts.";;"Слова из интернета"
"indicates";"указывает";;"ˈɪndɪˌkeɪts";"The main event that they track for each bot is new request (triggered when the bot receives a message from a user) with properties request_type that <b>indicates</b> the intent of the message (i.e. uploading a receipt or something else).";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5kaWNhdGVz32562fcc.mp3]";"The main event that they track for each bot is new request (triggered when the bot receives a message from a user) with properties request_type that {{c1::indicates}} the intent of the message (i.e. uploading a receipt or something else).";;"Слова из интернета"
"onboarding";"адаптация";;"ˈɒnbɔːdɪŋ";"As part of the signup and <b>onboarding</b> process improvements we're doing right now at Deveo, we're also trying to improve the usefulness of our metrics.";"[sound:https://audiocdn.lingualeo.com/v2/1/b25ib2FyZGluZw==643f5ef5.mp3]";"As part of the signup and {{c1::onboarding}} process improvements we're doing right now at Deveo, we're also trying to improve the usefulness of our metrics.";;"Слова из интернета"
"coolest one";"крутейшее";;;"Here's an example of using Botkit with Slack's real time API, which is the <b>coolest one</b> because your bot will look and act like a real user inside Slack.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29vbGVzdCBvbmU=fd821859.mp3]";"Here's an example of using Botkit with Slack's real time API, which is the {{c1::coolest one}} because your bot will look and act like a real user inside Slack.";;"Слова из интернета"
"as such";"как таковой, сам по себе, по существу";"<img src='https://contentcdn.lingualeo.com/uploads/picture/285507.png'>";;"<b>As such</b>, the team tracks installation (including the total number of users in the team), activation (authenticating a calendar, which creates a user profile in Mixpanel), and finally engagement (when a user initiates a request via Meekan).";"[sound:https://audiocdn.lingualeo.com/v2/1/YXMgc3VjaA==bece3021.mp3]";"{{c1::As such}}, the team tracks installation (including the total number of users in the team), activation (authenticating a calendar, which creates a user profile in Mixpanel), and finally engagement (when a user initiates a request via Meekan).";;"Слова из интернета"
"assemble";"собирать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/290316.png'>";"əˈsɛmbl";"The legions will <b>assemble</b> under my generals in the square.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXNzZW1ibGU=104ec4f4.mp3]";"The legions will {{c1::assemble}} under my generals in the square.";;"Мой словарь"
"deal";"сделка";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3003504.png'>";"dil";"""<b>Deal</b> definitely off.""";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVhbA==56ae8c02.mp3]";"""{{c1::Deal}} definitely off.""";;"Мой словарь"
"foreigner";"иностранец";"<img src='https://contentcdn.lingualeo.com/uploads/picture/156288.png'>";"ˈfɔrənər";"Well, perhaps it's the <b>foreigner</b> in you.";"[sound:https://audiocdn.lingualeo.com/v2/1/Zm9yZWlnbmVya69bbd10.mp3]";"Well, perhaps it's the {{c1::foreigner}} in you.";;"Мой словарь"
"predicted";"предсказанный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/141159.png'>";"prɪˈdɪktɪd";" And then, though I’d <b>predicted</b> that he would laugh, I was suddenly the one having hysterics.";"[sound:https://audiocdn.lingualeo.com/v2/1/cHJlZGljdGVk309c8251.mp3]";" And then, though I’d {{c1::predicted}} that he would laugh, I was suddenly the one having hysterics.";;"Мой словарь"
"rearrangement";"Перестановка";;"riərˈeɪːndʒmənt";"As the cost of <b>rearrangement</b> increases, the need for separating design from production increases as well";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVhcnJhbmdlbWVudA==fd042108.mp3]";"As the cost of {{c1::rearrangement}} increases, the need for separating design from production increases as well";;"Мой словарь"
"splendidly";"прекрасно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/959763.png'>";"splˈendɪdli";"This works <b>splendidly</b>. – Volte Oct 1 '14 at 20:40";"[sound:https://audiocdn.lingualeo.com/v2/1/c3BsZW5kaWRseQ==f793cc9f.mp3]";"This works {{c1::splendidly}}. – Volte Oct 1 '14 at 20:40";;"Слова из интернета"
"hijacked";"похищать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/62232.png'>";"hˈaɪdʒækt";"the HTTP connection is <b>hijacked</b> to transport STDOUT, STDIN, and STDERR.";"[sound:https://audiocdn.lingualeo.com/v2/1/aGlqYWNrZWQ=edb3232f.mp3]";"the HTTP connection is {{c1::hijacked}} to transport STDOUT, STDIN, and STDERR.";;"Слова из интернета"
"comprehensive";"полный. всесторонний. полный";;"ˌkɑmpriˈhɛnsɪv";"A <b>comprehensive</b> mobile development platform";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29tcHJlaGVuc2l2ZQ==c7e8c237.mp3]";"A {{c1::comprehensive}} mobile development platform";;"Мой словарь"
"unintended";"непредусмотренный";;"ʌnɪntˈendɪd";" Another meaning for ""fall out"" is when you have a fight or a quarrel";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5pbnRlbmRlZA==ceccb7bb.mp3]";" Another meaning for ""fall out"" is when you have a fight or a quarrel";;"Мой словарь"
"hurdle";"препятствие";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1131688.png'>";"hˈɜːdl";"The next <b>hurdle</b> is instantiating multiple instances of actual bots.";"[sound:https://audiocdn.lingualeo.com/v2/1/aHVyZGxl2bdcd5e6.mp3]";"The next {{c1::hurdle}} is instantiating multiple instances of actual bots.";;"Слова из интернета"
"measurement";"измерение";"<img src='https://contentcdn.lingualeo.com/uploads/picture/107065.png'>";"ˈmɛʒərmənt";"Doing DevOps without monitoring and <b>measurement</b>?";"[sound:https://audiocdn.lingualeo.com/v2/1/bWVhc3VyZW1lbnQ=e3c250d3.mp3]";"Doing DevOps without monitoring and {{c1::measurement}}?";;"Слова из интернета"
"relay";"передавать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/419031.png'>";"riˈleɪ";"Back in ye olde days of the internet, there was IRC (Internet <b>Relay</b> Chat), a chat network with channels and servers for every microcosm in the world.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVsYXk=fd6b2b3a.mp3]";"Back in ye olde days of the internet, there was IRC (Internet {{c1::Relay}} Chat), a chat network with channels and servers for every microcosm in the world.";;"Слова из интернета"
"suspenseful";"захватывающий";;"səspˈensfl";"I've been dope, <b>suspenseful</b> with a pencil";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VzcGVuc2VmdWw=8c5f924a.mp3]";"I've been dope, {{c1::suspenseful}} with a pencil";;"Мой словарь"
"to drag";"волочить. медленное, тяжёлое движение";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2343479.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZHJhZw==2726e3f6.mp3]";;;"Мой словарь"
"something else";"что-нибудь ещё";"<img src='https://contentcdn.lingualeo.com/uploads/picture/22377.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/c29tZXRoaW5nIGVsc2U=9edc22bc.mp3]";;;"Мой словарь"
"have been";"был";"<img src='https://contentcdn.lingualeo.com/uploads/picture/486961.png'>";;"Since then, there <b>have been</b> so many cool projects built we can hardly keep track of them all!";"[sound:https://audiocdn.lingualeo.com/v2/1/aGF2ZSBiZWVua3a7bff6.mp3]";"Since then, there {{c1::have been}} so many cool projects built we can hardly keep track of them all!";;"Слова из интернета"
"lift into";"поднять в";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/bGlmdCBpbnRv1b29b594.mp3]";;;"Мой словарь"
"getting dirty";"пачкаться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/940407.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/Z2V0dGluZyBkaXJ0eQ==20344efb.mp3]";;;"Мой словарь"
